L,margin,margin2,total,total2,deficit,n_primes,g_log2,validation
0.2,1.1050862437828575,1.4000890776748274,1.1050862437828575,1.4000890776748274,0.0,0,0.0,1.8505997989198968e-05
0.25,0.8814907977545573,1.1767967082147126,0.8814907977545573,1.1767967082147126,0.0,0,0.0,2.3937618857583995e-05
0.3,0.6986112528195301,0.9942919985768408,0.6986112528195301,0.9942919985768408,0.0,0,0.0,3.0448171792754827e-05
0.3366,0.5830215096647436,0.8790228443059651,0.5830215096647436,0.8790228443059651,0.0,0,0.0,3.550543221365267e-05
0.35,0.5437929886824536,0.8399243787835791,0.543181576529769,0.8405823212491541,0.04766904968243393,1,0.000637517060495609,3.741621384495005e-05
0.3566,0.5250151226889885,0.8212113525370817,0.5126317017336837,0.8296798518545825,0.4163221647607974,1,0.016173763820698798,3.835240536112889e-05
0.4,0.4094798009518767,0.7061422877277809,0.23858346678020184,0.7836651575129386,0.49012775565918326,1,0.21789586523611854,4.464468442861663e-05
0.45,0.29079509335324305,0.5880746205408656,0.0717302967541843,0.5054685274269368,0.49012907172482656,1,0.23705797915704183,5.219472949865372e-05
0.5,0.1844061892109122,0.4823953383600145,0.013567284001760965,0.20392307789212014,0.49012907173436093,1,0.1926557677326764,6.011644540922496e-05
0.5393,0.10784037214977178,0.40645616427840114,0.0017429970869696281,0.06651594934070108,0.4901290717342642,1,0.15853544212993362,6.665735604940451e-05
0.55,0.08793297643962641,0.3867319282797857,0.0010121767354531613,0.03975463742831542,0.49012907173424064,2,0.15239499528917083,6.872116923854972e-05
0.5593,0.07093313564797393,0.3698949300916862,0.0007023662740238795,0.023619193715051306,0.6188408461137966,2,0.1477419604079107,7.012164312581732e-05
0.6,-0.00038509538497255943,0.2993324074594924,7.791541936073715e-05,0.003939905303472323,0.8995245633469435,2,0.12150450302812378,7.687850012180026e-05
0.65,-0.08188825588468143,0.21886608018989467,2.6955523554875337e-06,0.00022572845290665908,0.900926021659491,2,0.09537757360578485,8.518745655012061e-05
0.6831,-0.1326138845330075,0.16889681333811,2.834797695298763e-07,2.4839161495911256e-05,0.9009276138885354,2,0.08024154175707313,9.13686769018157e-05
0.7,-0.1576215287209046,0.1442982816782639,6.484480037410642e-08,7.94009434283383e-06,0.904500360402749,3,0.07244431988791515,9.408347443554803e-05
0.7031,-0.16214688702774605,0.13984988081417513,4.958792812070012e-08,6.157865682423903e-06,0.9339779196575752,3,0.07124134852219223,9.44258676244482e-05
0.75,-0.22841658177822388,0.07480847838633517,8.511932883630195e-10,1.0640581243422656e-07,1.1666653198557502,3,0.054401055131800075,0.00010316736187121493
0.7947,-0.28807945694812737,0.016440425561320162,1.2049125384563565e-11,2.042629076875306e-09,1.1996073909807148,3,0.03873123695659638,0.0001102270558335089
0.8,-0.294947060097162,0.009734836757080402,6.961509505739492e-12,1.2496512962916855e-09,1.208316585475159,3,0.03714274081558862,0.00011150395287736587
0.8147,-0.31377934916714184,-0.008637749296216538,1.7760604881462392e-12,2.699666308187462e-10,1.2216008285487752,4,0.03296866618667554,0.00011539077494287173
0.85,-0.35776706533085395,-0.051464391118747656,2.111951046187381e-13,7.385336509442167e-12,1.4087769807576456,4,0.02277095425221073,0.00011985666123999891
0.9,-0.4173386055096677,-0.1092384055565733,2.600531667446273e-14,1.8096222875837513e-13,1.4531171724703926,4,0.3037376492218813,0.00012942712049616618
0.95,-0.4740515648323705,-0.16396395793930033,2.1777152460241708e-14,3.979723298115495e-14,1.581600630764994,4,0.29404956531107174,0.00013709446230510448
0.963,-0.488370912944424,-0.17773373218456776,7.80824314443792e-17,3.12339481146275e-15,1.5866038460663616,4,0.44024755264725146,0.00013897551726186542
0.983,-0.5100801008764392,-0.19856955401069779,1.1824444268096184e-14,1.6768163834069754e-14,1.6221940516273998,5,0.17740670117101487,0.0001431262800450157
1.0,-0.5282385143978542,-0.21596028514004795,-2.188990687894024e-14,-1.660775158941977e-14,1.64061206098794,5,0.4465341177248899,0.00014765622609972485
1.0297,-0.5593488853653114,-0.24566713358201256,-7.961513936790719e-15,2.165127948104958e-14,1.6864070640966784,5,-0.23113849186331084,0.0001525327067328668
